gene_id,type,c1,c2,start,end
mt-Tp,MTtype,-1,MT,15356,15422
mt-Tt,MTtype,-1,MT,15289,15355
mt-Cytb,MTtype,-1,MT,14145,15288
mt-Te,MTtype,-1,MT,14071,14139
mt-Nd6,MTtype,-1,MT,13552,14070
mt-Nd5,MTtype,-1,MT,11742,13565
mt-Tl2,MTtype,-1,MT,11671,11741
mt-Ts2,MTtype,-1,MT,11613,11671
mt-Th,MTtype,-1,MT,11546,11612
mt-Nd4,MTtype,-1,MT,10167,11544
mt-Nd4l,MTtype,-1,MT,9877,10173
mt-Tr,MTtype,-1,MT,9808,9875
mt-Nd3,MTtype,-1,MT,9459,9806
mt-Tg,MTtype,-1,MT,9391,9458
mt-Co3,MTtype,-1,MT,8607,9390
mt-Atp6,MTtype,-1,MT,7927,8607
mt-Atp8,MTtype,-1,MT,7766,7969
mt-Tk,MTtype,-1,MT,7700,7764
mt-Co2,MTtype,-1,MT,7013,7696
mt-Td,MTtype,-1,MT,6942,7011
mt-Ts1,MTtype,-1,MT,6870,6938
mt-Co1,MTtype,-1,MT,5328,6872
mt-Ty,MTtype,-1,MT,5260,5326
mt-Tc,MTtype,-1,MT,5192,5257
mt-Tn,MTtype,-1,MT,5089,5159
mt-Ta,MTtype,-1,MT,5018,5086
mt-Tw,MTtype,-1,MT,4950,5016
mt-Nd2,MTtype,-1,MT,3914,4951
mt-Tm,MTtype,-1,MT,3845,3913
mt-Tq,MTtype,-1,MT,3772,3842
mt-Ti,MTtype,-1,MT,3706,3774
mt-Nd1,MTtype,-1,MT,2751,3707
mt-Tl1,MTtype,-1,MT,2676,2750
mt-Rnr2,MTtype,-1,MT,1094,2675
mt-Tv,MTtype,-1,MT,1025,1093
mt-Rnr1,MTtype,-1,MT,70,1024
mt-Tf,MTtype,-1,MT,1,68
Gm24984,Normal,10,10,72527550,72527682
Gm24616,Normal,16,16,23111617,23111755
Gm24261,Normal,13,13,100604359,100604462
Gm22166,Normal,2,2,10497548,10497668
Mir450-2,Xtype,-1,X,53048299,53048367
Gm23047,Normal,7,7,59733770,59733863
Gm24014,Normal,1,1,57467870,57468026
Gm25149,Normal,9,9,70799556,70799637
Gm23555,Normal,18,18,56192999,56193133
Mir6359,Normal,18,18,88972030,88972110
Gm24155,Normal,3,3,118434721,118434830
Gm22952,Normal,4,4,56761922,56762041
Mir7649,Normal,6,6,128974840,128974895
Gm22514,Normal,10,10,78370013,78370320
Gm27441,Normal,14,14,97049481,97049585
Gm27668,Normal,4,4,47603889,47604008
Gm24274,Normal,8,8,67213296,67213419
Gm24946,Normal,3,3,63488993,63489098
Gm22618,Normal,5,5,50290380,50290486
Gm24371,Normal,4,4,32514787,32515053
Mir1954,Normal,2,2,32652329,32652414
Actl10,Normal,2,2,154551776,154553276
Gm22594,Normal,10,10,66483553,66483682
Gm26502,Normal,7,7,59756514,59756607
Gm26478,Normal,2,2,11087781,11087913
Gm23460,Normal,1,1,52444436,52444544
Mir6400,Normal,4,4,15942900,15942991
Gm25884,Normal,10,10,92486818,92486879
Gm24999,Normal,13,13,60293672,60293772
Gm23558,Normal,12,12,97371034,97371113
n-R5s40,Normal,15,15,79692502,79692625
Gm26458,Normal,11,11,11427385,11427512
Gm27507,Normal,1,1,74764798,74764890
n-R5s113,Normal,8,8,123560888,123561006
Mir221,Xtype,-1,X,19146294,19146388
Gm25670,Normal,14,14,110597616,110597722
Gm25224,Normal,12,12,109689477,109689544
Gm25059,Normal,9,9,113776182,113776298
Gm24502,Normal,5,5,75561046,75561150
n-R5s19,Normal,19,19,6144732,6144851
Mir680-3,Normal,12,12,35194811,35194897
Gm22823,Normal,14,14,41247686,41247792
Gm24337,Normal,4,4,5687677,5687802
Gm27892,Xtype,-1,X,25679415,25679520
Gm25334,Normal,19,19,4904673,4904782
Gm4883,Normal,7,7,30709736,30710263
Mir29b-1,Normal,6,6,31063023,31063093
Gm23841,Normal,5,5,67053679,67053792
Gm22870,Normal,18,18,30476407,30476518
n-R5s6,Xtype,-1,X,49879307,49879394
